week,week_rwc_link,date_wp,time,tree,plot,site,species,year,type,water_potential,mean_swc_per_dry_g,max_swc_per_dry_g,rwc_week,collection_type,lwc_wet_per_dry,rwc_percent,rwc_max_percent
14,15,2022-04-04,pd,1478,Low,Cucu Mesa,blue oak,1,stem,0.5714,1.33818589025756,1.33818589025756,no,lwc,1.74375600384246,130.30745702354102,130.30745702354102
10,11,2022-03-08,md,2004,High,Cucu Mesa,blue oak,0,leaf,1.65333333333333,1.85855728429986,1.85855728429986,no,lfm,1.81342569684974,97.57168703750116,97.57168703750116
10,11,2022-03-08,md,2004,High,Cucu Mesa,blue oak,0,leaf,1.65333333333333,1.85855728429986,1.85855728429986,no,lwc,1.78337099060783,95.95458830743797,95.95458830743797
10,11,2022-03-08,md,2004,High,Cucu Mesa,blue oak,0,leaf,1.65333333333333,1.85855728429986,1.85855728429986,no,lfm,1.69468146798111,91.18263301846605,91.18263301846605
10,11,2022-03-08,pd,2004,High,Cucu Mesa,blue oak,0,leaf,0.3335,1.85855728429986,1.85855728429986,no,lfm,2.29321081409478,123.3866092515227,123.3866092515227
10,11,2022-03-08,pd,2004,High,Cucu Mesa,blue oak,0,leaf,0.3335,1.85855728429986,1.85855728429986,no,lwc,2.02494061085973,108.95228400896713,108.95228400896713
14,15,2022-04-04,pd,2004,High,Cucu Mesa,blue oak,0,leaf,0.38925,0.984012348858943,1.85855728429986,no,lfm,1.18124654304096,120.04387388133178,63.557177011412335
14,15,2022-04-04,pd,2004,High,Cucu Mesa,blue oak,0,leaf,0.38925,0.984012348858943,1.85855728429986,no,lwc,1.01301729162619,102.94761979368256,54.50557269252022
14,15,2022-04-04,pd,2004,High,Cucu Mesa,blue oak,0,stem,0.38925,1.36174686954962,1.36174686954962,no,lfm,2.47168732125834,181.50857376861958,181.50857376861958
14,15,2022-04-04,pd,2004,High,Cucu Mesa,blue oak,0,stem,0.38925,1.36174686954962,1.36174686954962,no,lwc,1.01301729162619,74.39101306406764,74.39101306406764
14,15,2022-04-04,pd,2004,High,Cucu Mesa,blue oak,1,stem,0.38925,1.13802730330705,1.13802730330705,no,lfm,1.15002627430373,101.0543658277628,101.0543658277628
14,15,2022-04-04,pd,2004,High,Cucu Mesa,blue oak,1,stem,0.38925,1.13802730330705,1.13802730330705,no,lwc,1.01301729162619,89.01520101340387,89.01520101340387
15,15,2022-04-13,md,2004,High,Cucu Mesa,blue oak,0,leaf,2.2,0.984012348858943,1.85855728429986,yes,lfm,0.994408431886783,101.05649924412994,53.504319736982886
15,15,2022-04-13,md,2004,High,Cucu Mesa,blue oak,0,leaf,2.2,0.984012348858943,1.85855728429986,yes,lwc,0.822410202966214,83.57722379397757,44.24992492367678
