Date.Time,Sensor,Sapflow,Tree,Loc,Sapflow.st
2022-03-25T01:54:27Z,SAP.FLOW.TOTAL.2,-0.068,2382,RT,-0.010526315789473686
2022-03-25T01:54:27Z,SAP.FLOW.TOTAL.3,0.847,2010,RT,0.05092592592592592
2022-03-25T02:09:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T02:09:27Z,SAP.FLOW.TOTAL.1,-0.086,2384,RT,-0.017016224772457456
2022-03-25T02:09:27Z,SAP.FLOW.TOTAL.2,-0.041,2382,RT,-0.0063467492260061925
2022-03-25T02:09:27Z,SAP.FLOW.TOTAL.3,0.789,2010,RT,0.04743867243867244
2022-03-25T02:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T02:24:27Z,SAP.FLOW.TOTAL.1,0.013,2384,RT,0.0025722200237435692
2022-03-25T02:24:27Z,SAP.FLOW.TOTAL.2,-0.091,2382,RT,-0.014086687306501547
2022-03-25T02:24:27Z,SAP.FLOW.TOTAL.3,0.954,2010,RT,0.05735930735930735
2022-03-25T02:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T02:39:27Z,SAP.FLOW.TOTAL.1,-0.053,2384,RT,-0.010486743173723782
2022-03-25T02:39:27Z,SAP.FLOW.TOTAL.2,-0.1,2382,RT,-0.015479876160990714
2022-03-25T02:39:27Z,SAP.FLOW.TOTAL.3,0.835,2010,RT,0.050204425204425196
2022-03-25T02:54:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T02:54:27Z,SAP.FLOW.TOTAL.1,0.061,2384,RT,0.012069647803719824
2022-03-25T02:54:27Z,SAP.FLOW.TOTAL.2,-0.096,2382,RT,-0.014860681114551084
2022-03-25T02:54:27Z,SAP.FLOW.TOTAL.3,0.795,2010,RT,0.0477994227994228
2022-03-25T03:09:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T03:09:27Z,SAP.FLOW.TOTAL.1,0.09,2384,RT,0.017807677087455478
2022-03-25T03:09:27Z,SAP.FLOW.TOTAL.2,-0.125,2382,RT,-0.01934984520123839
2022-03-25T03:09:27Z,SAP.FLOW.TOTAL.3,0.747,2010,RT,0.04491341991341991
2022-03-25T03:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T03:24:27Z,SAP.FLOW.TOTAL.1,-0.362,2384,RT,-0.07162643450732092
2022-03-25T03:24:27Z,SAP.FLOW.TOTAL.2,-0.646,2382,RT,-0.1
2022-03-25T03:24:27Z,SAP.FLOW.TOTAL.3,0.279,2010,RT,0.016774891774891776
2022-03-25T03:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T03:39:27Z,SAP.FLOW.TOTAL.1,-0.194,2384,RT,-0.03838543727740404
2022-03-25T03:39:27Z,SAP.FLOW.TOTAL.2,-0.072,2382,RT,-0.011145510835913312
2022-03-25T03:39:27Z,SAP.FLOW.TOTAL.3,0.741,2010,RT,0.044552669552669545
2022-03-25T03:54:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T03:54:27Z,SAP.FLOW.TOTAL.1,-0.277,2384,RT,-0.05480807281361298
2022-03-25T03:54:27Z,SAP.FLOW.TOTAL.2,-0.035,2382,RT,-0.00541795665634675
2022-03-25T03:54:27Z,SAP.FLOW.TOTAL.3,0.415,2010,RT,0.024951899951899947
2022-03-25T04:09:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T04:09:27Z,SAP.FLOW.TOTAL.1,0.048,2384,RT,0.009497427779976256
2022-03-25T04:09:27Z,SAP.FLOW.TOTAL.2,-0.054,2382,RT,-0.008359133126934985
2022-03-25T04:09:27Z,SAP.FLOW.TOTAL.3,0.721,2010,RT,0.04335016835016835
2022-03-25T04:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T04:24:27Z,SAP.FLOW.TOTAL.1,-0.385,2384,RT,-0.07617728531855955
2022-03-25T04:24:27Z,SAP.FLOW.TOTAL.2,-0.129,2382,RT,-0.01996904024767802
2022-03-25T04:24:27Z,SAP.FLOW.TOTAL.3,0.529,2010,RT,0.0318061568061568
2022-03-25T04:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T04:39:27Z,SAP.FLOW.TOTAL.1,-0.198,2384,RT,-0.03917688959240206
2022-03-25T04:39:27Z,SAP.FLOW.TOTAL.2,-0.171,2382,RT,-0.02647058823529412
2022-03-25T04:39:27Z,SAP.FLOW.TOTAL.3,0.751,2010,RT,0.04515392015392015
2022-03-25T04:54:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T04:54:27Z,SAP.FLOW.TOTAL.1,0.068,2384,RT,0.013454689354966364
2022-03-25T04:54:27Z,SAP.FLOW.TOTAL.2,-0.1,2382,RT,-0.015479876160990714
2022-03-25T04:54:27Z,SAP.FLOW.TOTAL.3,0.623,2010,RT,0.037457912457912454
2022-03-25T05:09:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T05:09:27Z,SAP.FLOW.TOTAL.1,0.049,2384,RT,0.009695290858725761
2022-03-25T05:09:27Z,SAP.FLOW.TOTAL.2,-0.078,2382,RT,-0.012074303405572756
2022-03-25T05:09:27Z,SAP.FLOW.TOTAL.3,0.58,2010,RT,0.03487253487253487
2022-03-25T05:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T05:24:27Z,SAP.FLOW.TOTAL.1,-0.047,2384,RT,-0.00929956470122675
2022-03-25T05:24:27Z,SAP.FLOW.TOTAL.2,-0.155,2382,RT,-0.023993808049535603
2022-03-25T05:24:27Z,SAP.FLOW.TOTAL.3,0.466,2010,RT,0.02801827801827802
2022-03-25T05:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T05:39:27Z,SAP.FLOW.TOTAL.1,-0.285,2384,RT,-0.05639097744360901
2022-03-25T05:39:27Z,SAP.FLOW.TOTAL.2,-0.41,2382,RT,-0.06346749226006192
2022-03-25T05:39:27Z,SAP.FLOW.TOTAL.3,0.326,2010,RT,0.0196007696007696
2022-03-25T05:54:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T05:54:27Z,SAP.FLOW.TOTAL.1,-0.413,2384,RT,-0.0817174515235457
2022-03-25T05:54:27Z,SAP.FLOW.TOTAL.2,-0.184,2382,RT,-0.02848297213622291
2022-03-25T05:54:27Z,SAP.FLOW.TOTAL.3,0.451,2010,RT,0.027116402116402115
2022-03-25T06:09:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T06:09:27Z,SAP.FLOW.TOTAL.1,0.018,2384,RT,0.0035615354174910957
2022-03-25T06:09:27Z,SAP.FLOW.TOTAL.2,-0.182,2382,RT,-0.028173374613003094
2022-03-25T06:09:27Z,SAP.FLOW.TOTAL.3,0.528,2010,RT,0.031746031746031744
2022-03-25T06:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T06:24:27Z,SAP.FLOW.TOTAL.1,-0.055,2384,RT,-0.010882469331222793
2022-03-25T06:24:27Z,SAP.FLOW.TOTAL.2,-0.16,2382,RT,-0.02476780185758514
2022-03-25T06:24:27Z,SAP.FLOW.TOTAL.3,0.499,2010,RT,0.030002405002405
2022-03-25T06:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T06:39:27Z,SAP.FLOW.TOTAL.1,0.133,2384,RT,0.02631578947368421
2022-03-25T06:39:27Z,SAP.FLOW.TOTAL.2,-0.12,2382,RT,-0.018575851393188854
2022-03-25T06:39:27Z,SAP.FLOW.TOTAL.3,0.68,2010,RT,0.040885040885040885
2022-03-25T06:54:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T06:54:27Z,SAP.FLOW.TOTAL.1,-0.032,2384,RT,-0.006331618519984171
2022-03-25T06:54:27Z,SAP.FLOW.TOTAL.2,-0.314,2382,RT,-0.04860681114551084
2022-03-25T06:54:27Z,SAP.FLOW.TOTAL.3,0.372,2010,RT,0.022366522366522364
2022-03-25T07:09:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T07:09:27Z,SAP.FLOW.TOTAL.1,-0.101,2384,RT,-0.019984170953700038
2022-03-25T07:09:27Z,SAP.FLOW.TOTAL.2,-0.328,2382,RT,-0.05077399380804954
2022-03-25T07:09:27Z,SAP.FLOW.TOTAL.3,0.386,2010,RT,0.023208273208273206
2022-03-25T07:24:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T07:24:27Z,SAP.FLOW.TOTAL.1,0.016,2384,RT,0.0031658092599920855
2022-03-25T07:24:27Z,SAP.FLOW.TOTAL.2,-0.387,2382,RT,-0.05990712074303406
2022-03-25T07:24:27Z,SAP.FLOW.TOTAL.3,0.332,2010,RT,0.01996151996151996
2022-03-25T07:39:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T07:39:27Z,SAP.FLOW.TOTAL.1,-0.05,2384,RT,-0.009893153937475268
2022-03-25T07:39:27Z,SAP.FLOW.TOTAL.2,-0.09,2382,RT,-0.01393188854489164
2022-03-25T07:39:27Z,SAP.FLOW.TOTAL.3,0.092,2010,RT,0.005531505531505531
2022-03-25T07:54:27Z,SAP.FLOW.TOTAL,NA,2381,RT,NA
2022-03-25T07:54:27Z,SAP.FLOW.TOTAL.1,-0.014,2384,RT,-0.002770083102493075
2022-03-25T07:54:27Z,SAP.FLOW.TOTAL.2,0.297,2382,RT,0.04597523219814241
2022-03-25T07:54:27Z,SAP.FLOW.TOTAL.3,0.146,2010,RT,0.008778258778258777
