"","tree","species","time","date_shift","date_wp","cwc","lwc_mean","lma_g_cm2","lwa_g_cm2","water_potential"
"98","2007","blue oak",NA,2022-04-20,NA,0.0401879,NA,NA,NA,NA
"99","2007","blue oak","md",NA,2022-05-25,NA,0.698162729658793,NA,NA,-3.4
"100","2007","blue oak","pd",NA,2022-05-25,NA,NA,NA,NA,-1.67233333333333
"101","2008","blue oak",NA,2022-02-24,NA,0,NA,NA,NA,NA
"102","2008","blue oak",NA,2022-02-28,NA,0.0009796,NA,NA,NA,NA
"103","2008","blue oak",NA,2022-05-17,NA,0.0017053,NA,NA,NA,NA
"104","2008","blue oak",NA,2022-09-14,NA,0,NA,NA,NA,NA
"105","2008","blue oak",NA,2022-03-08,NA,0.0449899,NA,NA,NA,NA
"106","2008","blue oak",NA,2022-03-16,NA,0.0428984,NA,NA,NA,NA
"107","2008","blue oak",NA,2022-03-22,NA,0.0613478,NA,NA,NA,NA
"108","2008","blue oak","md",2022-04-05,2022-04-04,0.0608579,0.809241286132183,0.0149467229167192,0.0120955052765872,-1.88333333333333
"109","2008","blue oak","pd",2022-04-05,2022-04-04,0.0608579,0.933194154488518,0.0149467229167192,0.0139481944546419,-0.6765
"110","2008","blue oak",NA,2022-04-12,NA,0.0368461,NA,NA,NA,NA
"111","2008","blue oak",NA,2022-04-29,NA,0.0175778,NA,NA,NA,NA
"112","2008","blue oak",NA,2022-05-03,NA,0,NA,NA,NA,NA
"113","2008","blue oak",NA,2022-05-11,NA,0.0116163,NA,NA,NA,NA
"114","2008","blue oak",NA,2022-04-20,NA,0.0343212,NA,NA,NA,NA
"115","2008","blue oak","pd",NA,2022-05-25,NA,0.865671641791045,NA,NA,-1.736
"116","2008","blue oak","md",NA,2022-05-25,NA,0.692063492063492,NA,NA,-3.3
"117","2009","blue oak",NA,2022-02-24,NA,0.0054698,NA,NA,NA,NA
"118","2009","blue oak",NA,2022-02-28,NA,0.0049911,NA,NA,NA,NA
"119","2009","blue oak",NA,2022-05-17,NA,0.0171527,NA,NA,NA,NA
"120","2009","blue oak","pd",NA,2022-05-23,NA,0.854419410745234,0.0138864768252326,0.0118648753463426,-1.789
"121","2009","blue oak","md",NA,2022-05-23,NA,0.705295566502463,0.0138864768252326,0.00979407053917575,-3.276
"122","2009","blue oak","md",2022-09-14,2022-09-15,0,0.503884372177055,0.012904196012121,0.00650222270601722,NA
"123","2009","blue oak","pd",2022-09-14,2022-09-15,0,NA,0.012904196012121,NA,-1.60833333333333
"124","2009","blue oak",NA,2022-03-08,NA,1e-07,NA,NA,NA,NA
"125","2009","blue oak",NA,2022-03-16,NA,0.0070634,NA,NA,NA,NA
"126","2009","blue oak","pd",2022-03-22,2022-03-23,0.0407137,1.31397849462366,0.00925344300034789,0.012158825103683,-1.26666666666667
"127","2009","blue oak","md",2022-03-22,2022-03-23,0.0407137,1.13333333333333,0.00925344300034789,0.0104872354003942,-2.0625
"128","2009","blue oak","md",2022-04-05,2022-04-06,0.0582121,1.03923839041632,0.00925344300034789,NA,-2.95
"129","2009","blue oak","pd",2022-04-12,2022-04-11,0.0060261,0.886140675847483,NA,NA,-1.32666666666667
"130","2009","blue oak","md",2022-04-12,2022-04-13,0.0060261,0.884505461811121,NA,NA,-2.088
"131","2009","blue oak","md",2022-04-29,2022-04-25,0.0195894,0.84174624829468,0.0152530937453474,0.0128392344350332,-3.03333333333333
"132","2009","blue oak","pd",2022-04-29,2022-04-25,0.0195894,0.885623229461756,0.0152530937453474,0.0135084941420374,-1.276
"133","2009","blue oak",NA,2022-05-03,NA,2.2e-06,NA,NA,NA,NA
"134","2009","blue oak","md",2022-05-11,2022-05-09,0.0109038,0.772787959703848,0.0138864768252326,0.0107313020932463,-2.83966666666667
"135","2009","blue oak","pd",2022-05-11,2022-05-09,0.0109038,0.707988980716253,0.0138864768252326,0.0098314725732363,-1.66266666666667
"136","2009","blue oak","md",NA,2022-07-19,NA,0.579160186625195,0.0164839709380932,0.00954685968483035,-3.95
"137","2009","blue oak","pd",NA,2022-08-18,NA,0.650943396226415,0.012904196012121,0.00839990117770137,-2.851
"138","2009","blue oak","md",NA,2022-08-18,NA,0.591337719298246,0.012904196012121,0.00763073783918512,-4.0635
"139","2009","blue oak","pd",NA,2022-03-30,NA,NA,0.00925344300034789,NA,-1.12333333333333
"140","2009","blue oak",NA,2022-04-20,NA,0.0204973,NA,NA,NA,NA
"141","2010","blue oak",NA,2022-02-24,NA,0.0242848,NA,NA,NA,NA
"142","2010","blue oak",NA,2022-02-28,NA,0.0504087,NA,NA,NA,NA
"143","2010","blue oak",NA,2022-05-17,NA,0,NA,NA,NA,NA
