"","week","time","tree","plot","site","species","water_potential","lwc_mean","lma_g_cm2","ldmc","alas_cm2_per_mm2","lwa_g_cm2","leaf_count","swc_per_dry_g_mean","rwc","date_wp","week_alas_link","time_season","lwc"
"117",14,"md","2014","Low","Cucu Mesa","blue oak",-2.46666666666667,1.28807692307692,0.0115526535158508,NA,29.411027415404,0.0148807063940709,7,NA,NA,2022-04-04,14,"before leafout",1.28807692307692
"118",19,"md","2015","Low","Cucu Mesa","blue oak",-2.5325,NA,NA,NA,NA,NA,NA,1.09701204589278,NA,2022-05-09,21,"after leafout",NA
"119",17,"md","2015","Low","Cucu Mesa","blue oak",-2.731,NA,0.0150975322146832,NA,19.0218129161311,NA,6.33333333333333,NA,NA,2022-04-27,17,"before leafout",NA
"120",21,"md","2015","Low","Cucu Mesa","blue oak",-3.1685,NA,NA,NA,NA,NA,NA,0.956997303238589,NA,2022-05-25,21,"after leafout",NA
"121",17,"pd","2015","Low","Cucu Mesa","blue oak",-1.326,NA,0.0150975322146832,NA,19.0218129161311,NA,6.33333333333333,NA,NA,2022-04-27,17,"before leafout",NA
"122",37,"md","2015","Low","Cucu Mesa","blue oak",-4.4435,NA,0.0147419700314811,0.213145458302596,26.2377849943649,NA,6.33333333333333,0.893925184948141,NA,2022-09-15,37,"after leafout",NA
"123",37,"pd","2015","Low","Cucu Mesa","blue oak",-1.84675,NA,0.0147419700314811,0.213145458302596,26.2377849943649,NA,6.33333333333333,0.893925184948141,NA,2022-09-15,37,"after leafout",NA
"124",14,"pd","2015","Low","Cucu Mesa","blue oak",-0.617666666666667,1.24515269025691,0.0149738204619589,NA,26.5081741560983,0.0186446928316321,9.33333333333333,NA,NA,2022-04-04,14,"before leafout",1.24515269025691
"125",21,"pd","2015","Low","Cucu Mesa","blue oak",-1.982,NA,NA,NA,NA,NA,NA,0.956997303238589,NA,2022-05-25,21,"after leafout",NA
"126",14,"pd","2020","Chamise","Chamise","blue oak",-0.68625,1.0582889376371,0.0147616098318504,0.168935177079451,45.1632539167019,0.0156220483867624,6,1.1826007613114,90.8824990474061,2022-04-04,14,"before leafout",1.0582889376371
"127",14,"md","2020","Chamise","Chamise","blue oak",-2.43333333333333,0.801378362377712,0.0147616098318504,0.168935177079451,45.1632539167019,0.011829634713107,6,1.1826007613114,68.819833284867,2022-04-04,14,"before leafout",0.801378362377712
"128",17,"md","2020","Chamise","Chamise","blue oak",-1.781,NA,0.0150723442567091,NA,22.1204770229974,NA,6.33333333333333,NA,NA,2022-04-27,17,"before leafout",NA
"129",19,"md","2020","Chamise","Chamise","blue oak",-2.22025,NA,0.0154601661530273,0.210262989441603,16.8104861407462,NA,6,1.02204200362923,NA,2022-05-09,21,"after leafout",NA
"130",17,"pd","2020","Chamise","Chamise","blue oak",-0.94,NA,0.0150723442567091,NA,22.1204770229974,NA,6.33333333333333,NA,NA,2022-04-27,17,"before leafout",NA
"131",21,"md","2020","Chamise","Chamise","blue oak",-2.9805,NA,0.0154601661530273,0.195021371646902,16.8104861407462,NA,6,1.08046308336614,NA,2022-05-23,21,"after leafout",NA
"132",19,"pd","2020","Chamise","Chamise","blue oak",-1.52875,NA,0.0154601661530273,0.210262989441603,16.8104861407462,NA,6,1.02204200362923,NA,2022-05-09,21,"after leafout",NA
"133",37,"pd","2020","Chamise","Chamise","blue oak",-2.10666666666667,NA,0.0142241825162047,0.154603348997914,5.5868985550104,NA,2.5,0.81486729034257,NA,2022-09-15,37,"after leafout",NA
"134",37,"md","2020","Chamise","Chamise","blue oak",-2.643,NA,0.0142241825162047,0.154603348997914,5.5868985550104,NA,2.5,0.81486729034257,NA,2022-09-15,37,"after leafout",NA
