"","tree","plot","site","species","week","time","mpa","date_wp","rep","lwc_bulk","lwc_leaf","date_wc","lwc_mean","timing","mean_swc_per_dry_g","mean_swc_g","date_rwc","date_lfm","type","notes.x","lfm_wet_wt_y0_g","lfm_wet_per_dry_y0_g","lfm_dry_wt_y0_g","lfm_y0_percent","notes.y","lfm_wet_wt_y1_g","lfm_wet_per_dry_y1_g","lfm_dry_wt_y1_g","lfm_y1_percent","notes","lfm_wet_wt_both_g","lfm_wet_per_dry_both_g","lfm_dry_wt_both_g","lfm_both_percent","date_lfm_both","rwc_percent"
"49",1478,"Low","Cucu Mesa","blue oak",17,"pd",NA,NA,2,1.0767414403778,NA,2022-04-27,1.0767414403778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1478,"Low","Cucu Mesa","blue oak",19,"md",2.506,2022-05-09,NA,NA,NA,NA,NA,"late",1.02229035845107,0.39905,"2022-05-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1478,"Low","Cucu Mesa","blue oak",19,"md",2.564,2022-05-09,NA,NA,NA,NA,NA,"late",1.02229035845107,0.39905,"2022-05-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1478,"Low","Cucu Mesa","blue oak",21,"md",3.6,2022-05-25,1,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
"53",1478,"Low","Cucu Mesa","blue oak",21,"md",4,2022-05-25,3,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
"54",1478,"Low","Cucu Mesa","blue oak",21,"md",4,2022-05-25,4,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
"55",1478,"Low","Cucu Mesa","blue oak",21,"md",3.85,2022-05-25,2,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
"56",1478,"Low","Cucu Mesa","blue oak",21,"md",3.6,2022-05-25,4,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
"57",1478,"Low","Cucu Mesa","blue oak",21,"md",4,2022-05-25,1,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
"58",1478,"Low","Cucu Mesa","blue oak",21,"md",3.6,2022-05-25,2,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
"59",1478,"Low","Cucu Mesa","blue oak",21,"md",4,2022-05-25,2,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
"60",1478,"Low","Cucu Mesa","blue oak",21,"md",4.5,2022-05-25,3,0.667808219178082,NA,2022-05-23,0.667808219178082,"late",1.61119855619601,0.484333333333333,"2022-05-27","2022-05-25","leaf",NA,1.2948,0.729859719438878,0.7485,72.9859719438878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4479156904632
