"","X","date","tree","swc_g","swc_per_dry_g","swc_percent","year","week","swc_ww_g","swc_dw_g","type","rep","timing"
"184",184,"2022-03-30",2372,0.0507,2.41428571428571,241.428571428571,0,13,0.0717,0.021,"stem",2,"early"
"185",185,"2022-03-30",2375,0.3231,2.44772727272727,244.772727272727,NA,13,0.4551,0.132,"leaf",2,"early"
"186",186,"2022-03-30",2371,0.0688,2.45714285714286,245.714285714286,0,13,0.0968,0.028,"stem",3,"early"
"187",187,"2022-03-30",2371,0.5908,2.50338983050847,250.338983050847,NA,13,0.8268,0.236,"leaf",1,"early"
"188",188,"2022-03-30",2370,0.1452,2.54736842105263,254.736842105263,NA,13,0.2022,0.057,"leaf",2,"early"
"189",189,"2022-03-30",2371,0.9833,2.58083989501312,258.083989501312,NA,13,1.3643,0.381,"leaf",3,"early"
"190",190,"2022-03-30",2371,0.0491,2.58421052631579,258.421052631579,0,13,0.0681,0.019,"stem",1,"early"
"191",191,"2022-03-30",2367,0.0363,2.59285714285714,259.285714285714,0,13,0.0503,0.014,"stem",3,"early"
"192",192,"2022-03-30",2370,0.2303,2.61704545454546,261.704545454545,NA,13,0.3183,0.088,"leaf",1,"early"
"193",193,"2022-03-30",2372,1.1355,2.67806603773585,267.806603773585,NA,13,1.5595,0.424,"leaf",3,"early"
"194",194,"2022-03-30",2372,0.14,2.69230769230769,269.230769230769,0,13,0.192,0.052,"stem",3,"early"
"195",195,"2022-03-30",2371,0.5506,2.71231527093596,271.231527093596,NA,13,0.7536,0.203,"leaf",2,"early"
"196",196,"2022-03-30",2354,0.0198,2.82857142857143,282.857142857143,0,13,0.0268,0.007,"stem",2,"early"
"197",197,"2022-03-30",2370,0.0174,2.9,290,0,13,0.0234,0.006,"stem",1,"early"
"198",198,"2022-03-30",2370,0.0448,3.2,320,0,13,0.0588,0.014,"stem",2,"early"
"199",199,"2022-03-30",2361,NA,NA,NA,0,13,NA,0.028,"stem",1,"early"
"200",200,"2022-04-04",2383,0.491,1,100,0,14,0.982,0.491,"leaf",1,"early"
"201",201,"2022-04-11",2093,0.6105,0.623595505617977,62.3595505617977,1,15,1.5895,0.979,"leaf",1,"late"
"202",202,"2022-04-11",2093,0.4369,0.674228395061728,67.4228395061728,0,15,1.0849,0.648,"leaf",2,"late"
"203",203,"2022-04-11",2091,1.1465,0.692581853328501,69.25818533285,1,15,2.8019,1.6554,"leaf",1,"late"
"204",204,"2022-04-11",2091,0.3167,0.763132530120482,76.3132530120482,1,15,0.7317,0.415,"stem",2,"late"
"205",205,"2022-04-11",2089,0.3521,0.775550660792952,77.5550660792952,0,15,0.8061,0.454,"leaf",1,"late"
"206",206,"2022-04-11",2092,1.7714,0.840322580645161,84.0322580645161,1,15,3.8794,2.108,"leaf",1,"late"
"207",207,"2022-04-11",2091,0.1871,0.87511693171188,87.511693171188,1,15,0.4009,0.2138,"stem",2,"late"
"208",208,"2022-04-11",2093,0.0934,0.879472693032015,87.9472693032015,1,15,0.1996,0.1062,"stem",1,"late"
"209",209,"2022-04-11",2092,0.3952,0.932075471698113,93.2075471698113,1,15,0.8192,0.424,"stem",2,"late"
"210",210,"2022-04-11",2089,0.5826,0.960593569661995,96.0593569661995,1,15,1.1891,0.6065,"leaf",2,"late"
"211",211,"2022-04-11",2089,0.2482,0.98766414643852,98.7664146438519,1,15,0.4995,0.2513,"stem",2,"late"
"212",212,"2022-04-11",2093,0.0969,0.995889003083248,99.5889003083248,1,15,0.1942,0.0973,"stem",2,"late"
"213",213,"2022-04-11",2089,0.0151,1.00666666666667,100.666666666667,1,15,0.0301,0.015,"stem",1,"late"
"214",214,"2022-04-11",2085,0.3243,1.01028037383178,101.028037383178,1,15,0.6453,0.321,"stem",1,"late"
"215",215,"2022-04-11",2088,0.0928,1.07035755478662,107.035755478662,1,15,0.1795,0.0867,"stem",2,"late"
"216",216,"2022-04-11",2088,0.1743,1.13181818181818,113.181818181818,0,15,0.3283,0.154,"leaf",1,"late"
"217",217,"2022-04-11",2088,0.3404,1.13466666666667,113.466666666667,0,15,0.6404,0.3,"leaf",2,"late"
