tree,branch,length_y0_mm,length_y1_mm,length_y2_mm,length_y3_mm,length_total_mm,diameter_inner_mm,diameter_outer_mm,sapwood_area,process_type,notes,ks_g_s_mpa_max,ks_g_s_mpa_nat,ks_g_s_mpa_max_unfixed,ks_g_s_mpa_nat_unfixed,plc,mean_plc_tree,K_g_m_s_MPa_nat,K_g_m_s_MPa_max,ks_g_s_m_MPa_nat,ks_g_s_m_MPa_max,kl_g_s_m_MPa_nat,kl_g_s_m_MPa_max,leaf_count,Total Area,date
2369,6,,,,,0,,,0,,"broke, no data",0,0,,, ,,0,0, , ,0,0,13,48.299,4/12/22
2343,1,93.72,101.9,43.25,21.18,260.05,2.03,3.09,8.525025825,,,0,-0.047063637,,-0.062746161, , ,12238.89867,0,1435.643589,0,97.40390982,0,,125.651,5/23/22
2343,2,36.52,13.19,35.04,12.55,97.3,1.28,2.06,2.046119295,,,0,-0.006767998,,-0.009023227, ,,658.5261798,0,321.8415374,0,11.60754451,0,,56.7326,5/23/22
2343,3,16.84,7.53,31.83,13.96,70.16,1.14,2.22,2.850052855,,gall on Y1,0,-0.004637578,,-0.00618291, ,,325.3724869,0,114.1636676,0,9.25718565,0,,35.1481,5/23/22
2343,4,57.41,17.03,13.89,0,88.33,1.02,1.45,0.834171389,plc,no y3,-0.017739806,-0.017684706,-0.023651056,-0.023577596,0.310599239,,1562.090078,1566.957035,1872.624856,1878.459337,24.58389325,24.66048854,,63.5412,5/23/22
2343,5,12.06,12.12,30.01,10.87,65.06,0.82,2.15,3.102401285,plc,,-0.021195964,-0.004248204,-0.028258874,-0.005663789,79.95748521,,276.3881674,1379.009422,89.08846469,444.4974378,15.60078388,77.83845511,,17.7163,5/23/22
2343,6,28.09,16.55,34,10.89,89.53,0.85,1.66,1.596793006,,appears to have an open vessel...,0,-0.003826652,,-0.005101767, ,,342.6001323,0,214.5551309,0,9.880292554,0,,34.6751,5/23/22
2343,7,18.85,21.17,23.2,0,63.22,1.03,1.88,1.942682357,plc,no y3,-0.013892086,-0.008822944,-0.018521201,-0.011762922,36.48942096,,557.7865404,878.2576837,287.1218438,452.085067,16.43298757,25.87440993,,33.9431,5/23/22
2346,1,10.13,12.8,50.26,24,97.19,0.76,1.58,1.507021996,plc,,-0.005678942,-0.006230287,-0.007571276,-0.008306341,-9.708601298, ,605.5216281,551.9363304,401.8001262,366.2430488,71.13740932,64.84214408,,8.512,5/23/22
2346,2,15.28,12.52,54.88,0,82.68,0.7,1.64,1.7275618,plc,,-0.00694322,-0.004171041,-0.009256837,-0.005560914,39.92641331,,344.8617028,574.0654451,199.6233668,332.298066,18.76257204,31.23264828,,18.3803,5/23/22
2346,3,18.04,22.47,68.84,16.28,125.63,0.79,1.67,1.700229944,,,0,-0.00614434,,-0.008191754, ,,771.9134056,0,454.0052998,0,39.89484594,0,,19.3487,5/23/22
2346,4,31.99,53.16,81.63,13.56,180.34,0.89,2.07,2.743238705,plc,hard to tell if Y3 is present or only Y2,-0.017342698,-0.002988742,-0.023121624,-0.003984649,82.76656951,,538.9896904,3127.582118,196.4793255,1140.105712,15.80818904,91.72978679,,34.0956,5/23/22
2346,5,11.53,12.26,74.09,12.91,110.79,0.88,1.95,2.378264179,plc,,-0.007057603,-0.006441388,-0.009409334,-0.008587785,8.73121307,,713.6414173,781.9118028,300.0681858,328.774158,44.84052361,49.13018472,,15.9151,5/23/22
2346,6,21.99,19.83,42.43,9.85,94.1,0.96,1.43,0.882237757,plc,hard to tell if Y3 is present or only Y2,-0.003605667,-0.006904965,-0.004807146,-0.009205835,-91.50312888,,649.7572463,339.2932795,736.4876885,384.5825877,29.10798826,15.19974552,,22.3223,5/23/22
2347,1,11.1,20.4,18.38,11.93,61.81,0.75,1.53,1.396752094,,,0,-0.010741698,,-0.014321042, , ,663.9443563,0,475.348746,0,21.43526126,0,,30.9744,5/23/22
2347,2,39.97,58.24,37.42,17.77,153.4,0.93,2.27,3.367787325,,"hard to tell if there was a Y3, possible that what is measured for Y3 is actually just part of Y2",0,-0.0149698,,-0.01995803, ,,2296.367291,0,681.8623239,0,49.16758823,0,,46.7049,5/23/22
2347,3,13.13,20.94,19.95,12.95,66.97,0.71,1.96,2.62126637,,,0,-0.009557532,,-0.012742289, ,,640.0679352,0,244.1827135,0,19.92751933,0,,32.1198,5/23/22
2347,4,18.63,11.78,25.06,55.38,110.85,1.37,2.35,2.863247544,max only,,-0.016935682,0,-0.022578983,,,,0,1877.320383,0,655.6612219,0,58.79487578,,31.93,5/23/22
2347,5,67.34,39.70444444,61.92,0,168.9644444,0.88,2.42,3.991393466,plc,previously labeled 2367.5,-0.025746113,-0.019720386,-0.034325221,-0.026291604,23.4044145,,3332.044008,4350.177606,834.807201,1089.889444,34.35564435,44.85329556,,96.9868,5/23/22
2347,6,18.02,6.7,15.72,36.44,76.88,0.84,2.27,3.492901252,plc,,-0.009469947,-0.005323711,-0.012625519,-0.007097675,43.78310309,,409.2868633,728.0495471,117.1767633,208.4369109,18.29771119,32.54841906,,22.3682,5/23/22
2347,7,7.84,14.63,29.72,31.34,83.53,0.77,1.82,2.135890305,plc,,0,-0.00390902,,-0.005211582, ,,326.520444,0,152.8732273,0,23.52164678,0,,13.8817,5/23/22
2365,1,42.65,43.57,89.52,37.96,213.7,1.09,2.94,5.855536007,,,0,-0.008320954,,-0.011093659, , ,1778.187922,0,303.6763705,0,31.89757837,0,,55.7468,5/23/22
2365,2,12.27,10.97,53.7,31.66,108.6,0.66,1.88,2.433791829,,,0,-0.014869712,,-0.019824591, ,,1614.850726,0,663.5122638,0,76.09790091,0,,21.2207,5/23/22
2365,3,36.15,19.3,65.53,30.06,151.04,1.11,2.1,2.495916823,,,0,-0.013228922,,-0.017637057, ,,1998.096307,0,800.546031,0,44.31498734,0,,45.0885,5/23/22
2365,4,6.85,7.94,19.92,20.62,55.33,0.43,1.13,0.857654794,plc,gall on Y1,-0.005084299,-0.00503485,-0.006778487,-0.00671256,0.972591671,,278.5782286,281.3142677,324.8139349,328.0040752,19.36561387,19.55581207,,14.3852,5/23/22
2365,5,10.2,7.34,36.3,41.85,95.69,0.74,1.95,2.556392482,plc,gall on Y3,-0.007672969,-0.007214402,-0.010229753,-0.009618382,5.976400408,,690.3461347,734.2264471,270.0470055,287.2119411,26.05207556,27.70801764,,26.4987,5/23/22
2365,6,31.71,13.25,42.69,15.94,103.59,0.72,1.77,2.053423498,plc,,-0.009867465,-0.004699294,-0.013155498,-0.006265191,52.37587357,,486.7998885,1022.170746,237.0674578,497.7885697,8.728407827,18.32770169,,55.7719,5/23/22
2367,1,21.35,25.15,45.55,14.42,200.49,0.86,1.89,2.224640298,plc,94.02 of stem is y4,-0.003155071,-0.003090603,-0.004206403,-0.004120452,2.043337265, ,619.6349371,632.560277,278.5326409,284.3427216,25.66063026,26.19590087,,24.1473,5/23/22
2367,2,5.53,10.93,14.22,9.74,40.42,0.27,1.02,0.759872723,,,0,-0.00094399,,-0.001258546, ,,38.1560777,0,50.21377467,0,4.601886014,0,,8.2914,5/23/22
2367,3,10.8,17.1,10.51,9.43,47.84,0.44,0.84,0.40212386,,,0,-0.00291982,,-0.003892761, ,,139.6841834,0,347.3660665,0,10.82135258,0,,12.9082,5/23/22
2367,4,16.33,41.06,32.31,24.15,113.85,1.07,1.83,1.731017552,plc,,-0.004672476,-0.003076616,-0.006229436,-0.004101804,34.15448846,,350.2726764,531.9613566,202.3507364,307.3113591,22.27673362,33.831818,,15.7237,5/23/22
2367,5,28.28,28.79,78.12,15.37,150.56,0.81,2.01,2.657787385,plc,"2 were labelaed 2367.5, but this one looks the most similar to the rest of the branches",-0.00695642,-0.006145462,-0.009274435,-0.00819325,11.65769128,,925.2607388,1047.358567,348.1319627,394.071615,26.52423313,30.02438301,,34.8836,5/23/22
2367,6,80.57,86.6,103.56,10.61,281.34,0.93,2.36,3.695062739,nat,,0,-0.010771188,,-0.014360359, ,,3030.36612,0,820.1122237,0,47.39227177,0,,63.9422,5/23/22
2369,1,52.48,29.17,118.74,16.47,216.86,0.95,2.36,3.665531768,nat,,0,-0.012634312,,-0.016844312, ,,2739.876908,0,747.4705121,0,25.8399971,0,,106.0324,5/23/22
2369,2,70.88,13.36,100.32,30.51,215.07,0.9,2.66,4.920990733,,,0,-0.016612486,,-0.022148091, ,,3572.847305,0,726.0422747,0,28.33566874,0,,126.0901,5/23/22
2369,3,50.04,26.17,43.61,0,119.82,0.69,1.66,1.790315113,,,0,-0.004347578,,-0.005796276, ,,520.9267914,0,290.9693313,0,13.31153082,0,,39.1335,5/23/22
2369,4,23.83,14.22,20.1,8.24,66.39,0.99,1.72,1.553753187,plc,,-0.002564079,-0.002621763,-0.00341848,-0.003495386,-2.249713323,,174.0588592,170.2291904,112.0247802,109.5599944,5.242578813,5.127230818,,33.201,5/23/22
2369,5,14.68,25.26,38.62,11.71,90.27,0.88,1.89,2.197308442,nat,"Kmax does not include length of Y3 stem, broke underwater",-0.007230031,-0.004464111,-0.009639219,-0.00595164,38.25599356,,402.9752914,652.6549128,183.3949589,297.0247146,12.53913793,20.3082674,,32.1374,5/23/22
2369,5,14.68,25.26,38.62,0,78.56,0.88,1.89,2.197308442,plc,,-0.007230031,,-0.009639219,,,,0,567.9912479,0,258.4940908,0,17.67383945,,32.1374,5/23/22
2369,6,41.44,29,86.28,9.89,166.61,1.15,2.48,3.791823793,nat,,-0.007788828,-0.009304079,-0.010384218,-0.01240438,-19.4541563,,1550.152582,1297.696648,408.814509,342.2354832,26.71092632,22.36081786,,58.0344,5/23/22
2369,7,12.83,8.32,41.69,17.26,80.1,0.58,1.68,1.952499834,,this might not actually exist?,0,-0.002337477,,-0.00311637, ,,187.2319035,0,95.89342863,0,7.966908222,0,,23.5012,5/23/22
