tree,site,plot,species.x,week,md_mpa,md_lwc,pd_mpa,pd_lwc,longitude,latitude,name,description,species.y,e_drop,lat_utm,lon_utm,time
2343,LL,Hobbiton,blue oak,15,1.88633333333333,1.36743545030926,1.5,0.868382224763773,-120.046836107381,34.6915075565108,B2343,Sapflow probe 4,B,0.3863333333333301,-369434.4701462914,-4289.037692669951,early
2343,LL,Hobbiton,blue oak,17,2.6195,0.86150409530901,1.15466666666667,0.939163498098859,-120.046836107381,34.6915075565108,B2343,Sapflow probe 4,B,1.4648333333333299,-369434.4701462914,-4289.037692669951,NA
2343,LL,Hobbiton,blue oak,19,2.27533333333333,0.853237769814151,1.48633333333333,0.975219036756701,-120.046836107381,34.6915075565108,B2343,Sapflow probe 4,B,0.7890000000000001,-369434.4701462914,-4289.037692669951,late
2343,LL,Hobbiton,blue oak,21,3.71616666666667,0.683516483516484,NA,NA,-120.046836107381,34.6915075565108,B2343,Sapflow probe 4,B,NA,-369434.4701462914,-4289.037692669951,late
2343,LL,Hobbiton,blue oak,29,3.175,0.651623119556611,3.15,0.665217391304348,-120.046836107381,34.6915075565108,B2343,Sapflow probe 4,B,0.02499999999999991,-369434.4701462914,-4289.037692669951,late
2343,LL,Hobbiton,blue oak,33,4.00233333333333,0.671194153337011,3.085,NA,-120.046836107381,34.6915075565108,B2343,Sapflow probe 4,B,0.91733333333333,-369434.4701462914,-4289.037692669951,late
2343,LL,Hobbiton,blue oak,37,2.989,0.625556104794859,2.38916666666667,0.744446170576355,-120.046836107381,34.6915075565108,B2343,Sapflow probe 4,B,0.5998333333333297,-369434.4701462914,-4289.037692669951,late
2345,LL,Hobbiton,live oak,9,1.63,NA,0.5335,NA,-120.046605582862,34.6916462021151,L2345,NA,L,1.0964999999999998,-369419.0908392761,-4267.9197421940235,early
2345,LL,Hobbiton,live oak,10,1.35233333333333,2.06215112067359,0.301666666666667,NA,-120.046605582862,34.6916462021151,L2345,NA,L,1.050666666666663,-369419.0908392761,-4267.9197421940235,early
2345,LL,Hobbiton,live oak,12,2.00714285714286,NA,2.7625,NA,-120.046605582862,34.6916462021151,L2345,NA,L,-0.7553571428571404,-369419.0908392761,-4267.9197421940235,early
2345,LL,Hobbiton,live oak,14,2.82857142857143,0.694468085106383,1.5643333333333334,0.76590330788804,-120.046605582862,34.6916462021151,L2345,NA,L,1.2642380952380967,-369419.0908392761,-4267.9197421940235,early
2345,LL,Hobbiton,live oak,15,2.46625,0.628653247152131,0.533333333333333,0.625257921089853,-120.046605582862,34.6916462021151,L2345,NA,L,1.932916666666667,-369419.0908392761,-4267.9197421940235,early
